Control Name,Description,Category,Points,Popularity,Actions,Systems and Assets at Risk,Responsible Role,Control Authors,Description Summary
Electrical Room Presence of Water Monitoring,"The contractor and developer will ensure that water sensors are installed in electrical rooms to provide real-time alerts in the event of water presence. These sensors will be strategically placed to detect any water accumulation, helping to mitigate risks of water damage to sensitive electrical equipment. The installation locations and minimum required quantities of water sensors will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early detection and prompt response to any water-related issues, safeguarding the electrical infrastructure and enhancing overall system reliability.",Presence of Water Monitoring,5,5,"Installation - The water mitigation provider will install water sensors in electrical rooms for real-time water detection.
Placement - Sensors will be strategically placed, with location and quantity outlined in the Water Mitigation Plan.Maintenance - The Water Mitigation Plan will be maintained and reviewed to ensure effective sensor functionality.",Electrical Rooms,Developer,Wint.ai,Electrical Room Presence of Water Monitoring protects Electrical Rooms using presence of water monitoring.
Mechanical Room Presence of Water Monitoring,"The contractor and developer will ensure that water sensors are installed in Mechanical Rooms to provide real-time alerts in the event of water presence. These sensors will be strategically placed to detect any water accumulation, helping to mitigate risks of water damage. The installation locations and minimum required quantities of water sensors will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early detection and prompt response to any water-related issues, safeguarding the infrastructure and enhancing overall system reliability. ",Presence of Water Monitoring,10,5,"Installation - The water mitigation provider will install water sensors in mechanical rooms for real-time water detection.
Placement - Sensors will be strategically placed, with location and quantity outlined in the Water Mitigation Plan.Maintenance - The Water Mitigation Plan will be maintained and reviewed to ensure effective sensor functionality.","Domestic Cold Water, Domestic Hot Water, Fire Suppression System, Main City Water Supply, Mechanical Risers, Mechanical Rooms",Developer,Wint.ai,"Mechanical Room Presence of Water Monitoring protects Domestic Cold Water, Domestic Hot Water using presence of water monitoring."
Mechanical Risers Presence of Water Monitoring,"The contractor and developer will ensure that water sensors are installed in the mechanical risers to provide real-time alerts in the event of water presence. These sensors will be strategically placed to detect any water accumulation, helping to mitigate risks of water damage. The installation locations and minimum required quantities of water sensors will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early detection and prompt response to any water-related issues, safeguarding the infrastructure and enhancing overall system reliability.",Presence of Water Monitoring,6,5,"Installation - The water mitigation provider will install water sensors in mechanical risers for real-time water detection.
Placement - Sensors will be strategically placed, with location and quantity outlined in the Water Mitigation Plan.
Maintenance - The Water Mitigation Plan will be maintained and reviewed to ensure effective sensor functionality.
","Domestic Cold Water, Domestic Hot Water, Fire Suppression System, Mechanical Risers, Mechanical Rooms",Developer,Wint.ai,"Mechanical Risers Presence of Water Monitoring protects Domestic Cold Water, Domestic Hot Water using presence of water monitoring."
Cold Domestic Water Abnormal Flow Monitoring,"The contractor and developer will ensure that water flow sensors are installed in the Cold Domestic Water System to provide real-time alerts in the event of abnormal flow. These sensors will be strategically placed to detect any relevant water flow, helping to mitigate risks of water damage to sensitive equipment. The installation locations and minimum required quantities of flow sensors will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early detection and prompt response to any water-related issues, safeguarding the infrastructure and enhancing overall system reliability.",Abnormal Flow Valve and Pump Automation,12,5,"Installation - Install flow sensors in Cold Domestic Water System.
Monitoring - Ensure real-time alerts for abnormal water flow.
Documentation - Maintain Water Mitigation Plan with sensor details","Domestic Cold Water, Mechanical Risers, Mechanical Rooms",Developer,Wint.ai,"Cold Domestic Water Abnormal Flow Monitoring protects Domestic Cold Water, Mechanical Risers using abnormal flow valve and pump automation."
Temporary Water Run Abnormal Flow Monitoring,"The contractor and developer will ensure that water flow sensors are installed in the Temporary Water Run System to provide real-time alerts in the event of abnormal flow. These sensors will be strategically placed to detect any relevant water flow, helping to mitigate risks of water damage. The installation locations and minimum required quantities of flow sensors will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early detection and prompt response to any water-related issues, safeguarding the infrastructure and enhancing overall system reliability.",Abnormal Flow Valve and Pump Automation,1,5,"Installation - Install flow sensors in Temporary Water Run System.
Monitoring - Ensure real-time alerts for abnormal water flow.
Documentation - Maintain Water Mitigation Plan with sensor details.",Temporary Water Run,Developer,Wint.ai,Temporary Water Run Abnormal Flow Monitoring protects Temporary Water Run using abnormal flow valve and pump automation.
Fire Suppression System Abnormal Flow Monitoring,"The contractor and developer will ensure that water flow sensors are installed in the Fire Suppression System to provide real-time alerts in the event of abnormal flow. These sensors will be strategically placed to detect any relevant water flow, helping to mitigate risks of water damage to sensitive equipment. The installation locations and minimum required quantities of flow sensors will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early detection and prompt response to any water-related issues, safeguarding the infrastructure and enhancing overall system reliability.",Abnormal Flow Valve and Pump Automation,9,5,"Installation - Install flow sensors in Fire Suppression Water System.
Monitoring - Ensure real-time alerts for abnormal water flow.
Documentation - Maintain Water Mitigation Plan with sensor details.",Fire Suppression System,Developer,Wint.ai,Fire Suppression System Abnormal Flow Monitoring protects Fire Suppression System using abnormal flow valve and pump automation.
Automatic Shut Off Temporary Water Run,"The contractor and developer will ensure that Automatic Shut-off valves are installed in the Temporary Water Run System to disrupt water flow in the event of abnormal flow or presence of water. These valves will be strategically placed to shut-off any relevant water flow, helping to mitigate risks of water damage to sensitive equipment. The installation locations and minimum required quantities of Automatic Shut-off valves will be specified in the Water Mitigation Plan, which will be maintained by the contractor and developer. This proactive approach ensures early damage reduction and prompt response to any water-related issues, safeguarding the infrastructure and enhancing overall system reliability.",Abnormal Flow Valve and Pump Automation,8,5,"Installation - Install automatic shut-off valves in the Temporary Water Run system.
Activation - Ensure valves stop flow during abnormal conditions.
Documentation - Record locations in the Water Mitigation Plan",Temporary Water Run,Developer,Wint.ai,Automatic Shut Off Temporary Water Run protects Temporary Water Run using abnormal flow valve and pump automation.
Main Riser Section Automatic Shut Open/Close Cold Domestic Water,"The contractor and developer will ensure that predefined Automatic Shut Open/Close valves are installed on the Cold Domestic Water’s Main Riser Sections throughout all phases of construction. These valves will be configured to shut off water flow based on water presence detection, abnormal flow monitoring, or a predefined schedule to mitigate risks and prevent water damage.",Abnormal Flow Valve and Pump Automation,5,2,"Install predefined Automatic Shut Open/Close valves on Cold Domestic Water’s Main Riser Sections during all construction phases.
Specify valve locations and quantities in the Water Mitigation Plan and engineering drawings.
Maintain and update the Water Mitigation Plan to ensure compliance and system reliability.","Domestic Cold Water, Mechanical Risers",Developer,Wint.ai,"Main: protects Domestic Cold Water, Mechanical Risers via abnormal flow valve and pump automation."
Suite Drains,"The contractor and developer will ensure the installation of drains beneath all washing machines and dishwashers to capture any leaks or overflow, preventing water from seeping into surrounding areas. This proactive measure will be incorporated into the design and construction process to reduce the risk of water damage to flooring and nearby structures. The drains will be strategically placed to provide effective water capture, helping to maintain the integrity of the surrounding areas and mitigate potential water-related risks.",Design Incorporated,5,3,"Install drains beneath washing machines and dishwashers to prevent overflow.
Integrate drain installation into overall construction and plumbing designs.
Position drains strategically to protect surrounding flooring and structures.",Suites,Developer,EllisDon,Suite Drains protects Suites using design incorporated.
Flood Control Measures,"The Developer and Contractor shall implement flood control measures to manage water movement into and out of the project site. This includes reviewing grading, slopes, and ramps leading towards the building to ensure they are designed to mitigate water flow towards the structure",Design Incorporated,5,5,"Review grading and slopes for water flow prevention.
Design ramps to direct water away from structure.
Implement flood control measures around project site.","Electrical Rooms, Elevator Pits, Entire Project, Mechanical Rooms, Sump Pits",Contractor,EllisDon,"Flood Control Measures protects Electrical Rooms, Elevator Pits using design incorporated."
Pre-qualification of Envelope Systems,"The Contractor and Developer shall pre-qualify all envelope systems to ensure they meet specified performance requirements, including but not limited to durability, energy efficiency, and weather resistance. Detailed records of testing, certifications, and compliance with applicable standards shall be maintained and made available for review throughout the project lifecycle.",Design Incorporated,2,3,"Pre-qualify envelope systems for performance requirements.
Maintain records of testing, certifications, and compliance.
Ensure ongoing review of performance standards throughout project lifecycle","Elevator Pits, Main Electrical Risers, Mechanical Risers, Mechanical Rooms, Suites, Sump Pits",Engineering,EllisDon,"Pre-qualification of Envelope Systems protects Elevator Pits, Main Electrical Risers using design incorporated."
Heat Trace and Insulation,The contractor will plan and install heat trace systems on all water-carrying pipes in exterior or unconditioned spaces to prevent freezing and damage. Pipes will be properly insulated using materials that meet applicable standards for thermal efficiency and durability. This ensures reliable performance and safeguards the building’s infrastructure during cold weather.,Design Incorporated,1,3,"Plan and install heat trace systems on exterior water pipes.
Insulate pipes using compliant thermal efficiency materials.
Ensure reliable performance to prevent freezing and damage.","Domestic Cold Water, Domestic Hot Water, Fire Suppression System, Hydronics, Temporary Water Run",Contractor,EllisDon,"Heat Trace and Insulation protects Domestic Cold Water, Domestic Hot Water using design incorporated."
Pressure Reducing Valve Maintenance Plan: Safeguarding System Performance,"A structured maintenance plan should be implemented for pressure reducing valves (PRVs) to ensure regular inspections and timely seal replacements. Scheduled maintenance should include periodic checks of pressure and temperature gauges to detect any deviations that may indicate system issues. The plan must detail inspection intervals, replacement protocols, and necessary adjustments to optimize valve function. By systematically monitoring and maintaining these components, the risk of leaks, pressure imbalances, and system failures is significantly reduced.",Design Incorporated,15,3,"Implement – Create a structured maintenance plan for PRVs.
Inspect – Conduct regular checks of pressure, temperature, and seals.
Maintain – Schedule inspections, replacements, and adjustments to optimize valve function.","Domestic Cold Water, Fire Suppression System, Mechanical Risers, Mechanical Rooms",Engineering,Plumb-Tech,"Pressure: protects Domestic Cold Water, Fire Suppression System via design incorporated."
Proper Zoning Configuration: Optimizing Pressure Systems,"Separate booster pumps should be used for each pressure zone to minimize reliance on pressure-reducing valves (PRVs) and enhance system reliability. Multiple smaller pumps should be implemented instead of a single large pump to distribute workload evenly and reduce energy consumption. Proper zoning should include hydropneumatic tanks and strategic mechanical room placement, serving no more than 10 floors above and 10 floors below, to maintain stable and manageable pressure levels. Additionally, complex repressurization pump systems should be avoided to prevent excessive wear and tear.",Design Incorporated,23,4,"Use – Implement separate booster pumps for each pressure zone.
Distribute – Install multiple smaller pumps to reduce energy consumption.
Zoning – Ensure proper zoning with hydropneumatic tanks and optimal pump placement.","Domestic Cold Water, Mechanical Risers, Mechanical Rooms",Engineering,Plumb-Tech,"Proper Zoning Configuration: Optimizing Pressure Systems protects Domestic Cold Water, Mechanical Risers using design incorporated."
Floor Penetrations Water Seals,"Ensure and document that all floor penetrations are properly sealed to prevent water intrusion and maintain fire safety. Floor penetrations must be equipped with fire-stopping materials to prevent the spread of fire and sealed to stop water from passing through. Waterproofing membranes should be integrated with the pipe seals to maintain a continuous barrier against water ingress. By sealing the pipe penetrations before installing the insulation, the building can minimize the risk of water damage by preventing water from traveling through the insulation and potentially seeping through the floor to lower levels Non-permeable materials like calcium silicate or solid foam glass insulation should be used at floor penetrations to enhance durability and impermeability. Proper implementation of this control ensures a secure and compliant building infrastructure.",Design Incorporated,4,5,"Seal – Ensure all floor penetrations are sealed with fire-stopping materials to prevent water and fire intrusion.
Integrate – Use waterproofing membranes with pipe seals to maintain a continuous barrier against water ingress.
Use – Apply non-permeable materials like calcium silicate or solid foam glass for floor penetration insulation.",Entire Project,Engineering,EllisDon,Floor Penetrations Water Seals protects Entire Project using design incorporated.
Historical Project Water Incident Reports,"The Contractor and Developer will maintain a comprehensive record of all water-related incidents that occur during the construction and development phases, regardless of their scale or severity. This record will include detailed documentation of each event, such as the date, location, nature of the issue, corrective actions taken, and any preventative measures implemented. Once the building transitions to the operational phase, this historical data will be formally handed over to the property owner. Providing this information ensures transparency, facilitates proactive maintenance planning, and supports the property owner in managing potential water-related risks over the building’s lifecycle.",Water Response Strategy,2,4,"Record – Document all water-related incidents.
Track – Log details, actions, and prevention measures.
Transfer – Handover records to the property owner.
",Entire Project,Developer,EHAB,Historical Project Water Incident Reports protects Entire Project using water response strategy.
100-Year Flood and Wind Storm Report,"The developer is responsible for conducting a comprehensive flood and wind risk assessment as part of the site feasibility study. This process includes obtaining detailed reports, such as a 100-year flood report and a windstorm risk analysis, to evaluate the environmental and climate-related vulnerabilities of the site. The flood risk assessment identifies the likelihood and potential severity of flooding events based on historical data and predictive modeling. Similarly, the windstorm report assesses the site's exposure to high wind events, considering factors such as regional weather patterns, topography, and past storm occurrences.",Water Response Strategy,5,4,"Assess – Conduct flood and wind risk evaluations.
Analyze – Review reports on historical and predicted risks.
Document – Integrate findings into site feasibility studies.",Entire Project,Developer,EHAB,100-Year Flood and Wind Storm Report protects Entire Project using water response strategy.
Water Mitigation Components Warranties and Insurance,"The water mitigation provider is required to submit comprehensive documentation detailing the warranties and insurance coverage associated with all products that will be permanently installed as part of the project. This documentation must include product warranties, pass-through warranties, product insurance coverage and umbrella insurance.",Process Inspections and Documentation,1,4,"Submit – Provide documentation on warranties and insurance.
Detail – Include product and pass-through warranties.
Verify – Ensure coverage with product and umbrella insurance.",Entire Project,Water Mitigation Solution Provider,EllisDon,Water Mitigation Components Warranties and Insurance protects Entire Project using process inspections and documentation.
Water Mitigation Equipment Labeling,"Contractor and Water Mitigation Provider will label all Shutoff-Valves, Water Sensors, Network Equipment, and Water Mitigation Equipment with brightly colored, water resistant tags to ensure they are easily identifiable.",Process Inspections and Documentation,3,5,"Label – Tag all shutoff valves, sensors, and equipment.
Highlight – Use bright, water-resistant tags.
Ensure – Maintain clear and easy identification.",Entire Project,Water Mitigation Solution Provider,Wint.ai,Water Mitigation Equipment Labeling protects Entire Project using process inspections and documentation.
Water Mitigation Equipment Acceptance Test,"The contractor or the developer will accompany the water mitigation provider in a functional acceptance test of the entire water mitigation equipment installed and will sign a report attesting that all equipment is working correctly, having reliable and secure power and reliable radio, cellular or cable connectivity. Tests include in situ mechanical tests of all shutoff valves and spill tests on presence of water sensors. Any system expansion will necessarily have to also go through an acceptance test. An acceptance test report will be generated by the water mitigation provider and signed by the contractor or the developer.",Process Inspections and Documentation,7,2,"Test – Conduct a functional acceptance test with the water mitigation provider.
Verify – Ensure equipment functions correctly with secure power and connectivity.
Sign – Review and sign the acceptance test report, including system expansions.",Entire Project,Contractor,Wint.ai,Water Mitigation Equipment Acceptance Test protects Entire Project using process inspections and documentation.
"Installation Integrity: Joints, Bolts, and Piping","Rigorous construction inspections must be conducted at every stage of installation to ensure proper joint connections, bolt torque settings, and material selection. Trained personnel should verify joint connections and check bolt torque to prevent errors. Clear guidelines for material specifications and selection must be enforced to ensure compatibility with project requirements. Frequent audits and supervision by qualified field engineers should be prioritized to identify potential installation issues before they escalate.",Process Inspections and Documentation,15,5,"Inspect – Conduct rigorous inspections at each installation stage for joint connections and bolt torque.
Verify – Ensure trained personnel check material compatibility and specifications.Audit – Prioritize frequent audits and supervision by qualified engineers to catch potential issues early.","Domestic Cold Water, Domestic Hot Water, Fire Suppression System, Hydronics, Main City Water Supply, Mechanical Risers, Mechanical Rooms, Suites, Sump Pits, Temporary Water Run",Contractor,Plumb-Tech,"Installation: protects Domestic Cold Water, Domestic Hot Water via process inspections and documentation."
Additional Fill Tests: Ensuring Water System Integrity,"Additional fill tests should be conducted by gradually introducing water into the system to ensure all pipes are completely filled and functional tests are performed under realistic operating conditions. The system should be filled slowly, flushed methodically, and controlled with a single pump to avoid excessive thrust forces. Starting all pumps simultaneously should be avoided to prevent water hammer and system instability. Clear and detailed startup protocols must be established and rigorously followed, with regular inspections during and after these procedures to identify hidden vulnerabilities.",Process Inspections and Documentation,15,5,"Test – Gradually introduce water into the system and perform functional tests under realistic conditions.
Control – Fill and flush the system slowly, using a single pump to avoid excessive thrust forces.
Inspect – Establish clear startup protocols and conduct regular inspections to identify potential issues.","Domestic Cold Water, Domestic Hot Water, Fire Suppression System, Hydronics, Main City Water Supply, Mechanical Risers, Mechanical Rooms, Suites, Temporary Water Run",Mechanical Contractor,Plumb-Tech,"Additional: protects Domestic Cold Water, Domestic Hot Water via process inspections and documentation."
Air Pressure or Water Tests in Plumbing System,The contractor and the developer will receive and keep records of all Air pressure tests reports of all plumbing systems signed by the mechanical contractor 1 business day after tests are done regardless if regional code does not require it. All systems have to be tested for leaks or pressure prior to leaving them fully charged.,Tests Expansions and Maintenance,20,5,"Test – Conduct air pressure tests for all plumbing systems.
Record – Receive and store test reports signed by the mechanical contractor.
Ensure – Test for leaks or pressure before fully charging systems.","Domestic Cold Water, Domestic Hot Water, Fire Suppression System, Hydronics, Main City Water Supply, Sump Pits, Temporary Water Run",Mechanical Contractor,Plumb-Tech,"Air Pressure or Water Tests in Plumbing System protects Domestic Cold Water, Domestic Hot Water using tests expansions and maintenance."
Spill Kit,"The contractor and the developer will keep inventory and records of an appropriate water spill kit containing barrels, dehumidifiers, wet-dry vacuum, plastic sheeting, large barrels, contacts for vacuum trucks for large-scale water removal",Tests Expansions and Maintenance,2,5,"Inventory – Maintain a record of the water spill kit and equipment.
Equip – Ensure the kit includes barrels, dehumidifiers, vacuums, and sheeting.
Coordinate – Keep contact information for vacuum trucks for large-scale removal.",Entire Project,Contractor,EllisDon,Spill Kit protects Entire Project using tests expansions and maintenance.
Temporary Enclosures Plan,"The contractor and the developer will periodically review and maintain records of a comprehensive plan to address construction activities during inclement weather. This plan will outline specific measures to protect vulnerable elements of the construction site, such as electrical risers, from weather-related damage. As part of this plan, wooden huts or weatherproof enclosures will be constructed around electrical risers to shield them from rain, snow, or extreme temperatures. The huts will be equipped with proper ventilation and insulation to prevent moisture buildup and electrical hazards.",Tests Expansions and Maintenance,3,4,"Review – Periodically update the plan for inclement weather protection.
Protect – Have ready material to rapidly build wooden huts or enclosures around sensitive areas.
Ensure – Equip huts with inclination and insulation to prevent damage.","Electrical Rooms, Elevator Pits, Entire Project, Main Electrical Risers, Mechanical Risers, Suites",Contractor,EllisDon,"Temporary Enclosures Plan protects Electrical Rooms, Elevator Pits using tests expansions and maintenance."
